x-axis,1,2
second,Ampere,Volt
-0.01,-0.03,238.62
-0.01,0.32,235.37
-0.01,0.58,257.16
-0.01,-0.03,281.41
-0.01,0.27,237.19
-0.01,0.17,263.12
-0.01,0.38,241.21
0.00,0.38,257.29
0.00,-0.03,278.68
0.00,0.17,258.97
0.00,0.38,249.63
0.00,0.17,276.48
0.00,0.38,253.78
0.00,0.17,254.96
0.00,0.38,241.21
0.00,0.38,260.01
0.00,-0.03,287.90
0.00,0.17,258.46
0.00,0.38,249.25
0.00,0.17,262.35
0.00,0.38,257.29
0.00,0.15,280.49
0.00,0.38,241.21
0.00,0.38,252.48
0.00,-0.03,286.87
0.00,0.17,257.94
0.00,0.21,249.25
0.00,0.26,253.79
0.00,0.38,262.86
0.00,-0.03,294.20
0.00,0.22,241.21
0.00,0.47,257.29
0.00,0.03,281.41
0.00,0.37,201.97
0.00,0.13,255.94
0.00,0.27,249.25
0.00,0.38,263.37
0.00,-0.03,241.69
0.00,0.17,257.29
0.00,0.38,253.52
0.00,0.02,279.71
0.00,0.38,257.29
0.00,0.03,278.95
0.00,0.40,263.85
0.00,0.41,257.29
0.00,-0.03,288.81
0.00,0.17,257.29
0.00,0.38,260.54
0.00,0.35,259.64
0.00,0.35,257.29
0.00,0.10,291.55
0.00,0.30,244.20
0.00,0.55,249.25
0.00,-0.03,308.95
0.00,0.25,246.08
0.00,0.17,257.29
0.00,0.17,257.95
0.00,0.34,258.70
0.00,-0.03,277.92
0.00,0.31,241.21
0.00,0.57,256.48
0.00,-0.03,283.08
0.00,0.27,246.05
0.00,0.17,263.95
0.00,0.17,249.39
0.00,0.38,265.33
0.00,0.07,277.37
0.00,0.12,267.29
0.00,0.57,249.25
0.00,0.03,287.26
0.00,0.28,261.55
0.00,0.02,281.41
0.00,0.18,249.25
0.00,0.38,259.73
0.00,0.06,290.45
0.00,0.17,265.33
0.00,0.38,257.29
0.00,0.17,278.70
0.00,0.38,265.33
0.00,-0.03,275.74
0.00,0.20,250.13
0.00,0.58,257.29
0.00,0.05,285.57
0.00,0.17,263.47
0.00,0.38,257.29
0.00,0.25,274.97
0.00,0.38,265.33
0.00,0.17,255.27
0.00,0.17,259.71
0.00,0.49,252.72
0.00,0.04,262.09
0.00,0.17,219.56
0.00,0.33,263.66
0.00,0.17,261.59
0.00,0.38,257.29
0.00,-0.22,502.07
0.00,0.02,259.56
0.00,0.58,245.20
0.00,0.17,297.65
0.00,0.17,257.29
0.00,0.17,279.23
0.00,0.17,261.07
0.00,0.58,255.57
0.00,0.17,327.11
0.00,0.03,265.33
0.00,0.38,249.25
0.00,0.17,290.22
0.00,0.19,257.29
0.00,0.11,286.75
0.00,0.29,259.06
0.00,0.58,249.25
0.00,0.17,279.65
0.00,0.17,268.28
0.00,0.50,249.25
0.00,0.17,294.68
0.00,0.38,257.29
0.00,0.17,289.43
0.00,0.11,260.04
0.00,0.58,248.57
0.00,0.17,281.07
0.00,0.06,267.70
0.00,0.38,259.78
0.00,0.17,274.63
0.00,0.38,258.94
0.00,0.17,266.49
0.00,-0.03,275.60
0.00,0.58,264.84
0.00,0.17,275.28
0.00,0.17,269.38
0.00,0.17,267.31
0.00,0.17,265.33
0.00,0.38,253.59
0.00,0.07,281.41
0.00,-0.03,273.37
0.00,0.38,249.25
0.00,0.17,235.77
0.00,0.17,265.33
0.00,0.17,282.87
0.00,0.17,264.71
0.00,0.58,251.93
0.00,0.17,281.41
0.00,0.00,275.77
0.00,0.38,249.25
0.00,0.17,261.03
0.00,0.38,265.33
0.00,0.17,287.56
0.00,0.00,266.46
0.00,0.50,252.45
0.00,0.17,284.17
0.00,-0.01,258.66
0.00,0.38,257.29
0.00,0.17,274.37
0.00,0.31,257.29
0.00,0.17,273.80
0.00,-0.03,289.26
0.00,0.48,244.93
0.00,0.17,281.41
0.00,-0.03,265.33
0.00,0.17,281.41
0.00,0.17,273.20
0.00,0.38,255.30
0.00,0.17,281.41
0.00,-0.03,293.16
0.00,0.58,249.25
0.00,0.33,275.10
0.00,0.17,273.02
0.00,0.17,281.41
0.00,0.17,274.32
0.00,0.38,249.25
0.00,0.17,289.45
0.00,-0.16,302.85
0.00,0.38,249.25
0.00,0.38,278.98
0.00,0.17,272.50
0.00,0.17,271.20
0.00,0.17,276.39
0.00,0.40,241.21
0.00,0.17,281.41
0.00,-0.03,286.25
0.00,0.38,249.25
0.00,0.38,272.67
0.00,0.17,273.37
0.00,0.29,265.33
0.00,0.17,283.92
0.00,0.38,248.81
